No,ParentOrder,ParentId,Step,Class,Exponent,CenterSize,DerivedLength,NrConjClasses,HasC2DirectFactor,Code,Order,DerivedSize,Involutions,m,r,IsSpecial,Source,SourceID,Family,WignerS2,WignerS3
149,128,2328,3,2,4,8,2,238,false,19361739545311870948738560,1024,8,399,7,3,true,class2_special,54,m7r3_polar2_q1,243712,79691776
150,128,2328,3,2,4,8,2,238,false,20302255405501293448719123875334,1024,8,399,7,3,true,class2_special,55,m7r3_polar2_q2,243712,79691776
151,128,2328,3,2,4,8,2,238,false,20789509535233324562948426674734599,1024,8,79,7,3,true,class2_special,56,m7r3_polar2_q3,243712,79691776
152,128,2328,3,2,4,8,2,238,false,20302255405482792661449885877808,1024,8,239,7,3,true,class2_special,57,m7r3_polar2_q4,243712,79691776
153,128,2328,3,2,4,8,2,238,false,21288457764059524834125532308797654582,1024,8,239,7,3,true,class2_special,58,m7r3_polar2_q5,243712,79691776
154,128,2328,3,2,4,8,2,238,false,21799380750396953430144616544252624635447,1024,8,47,7,3,true,class2_special,59,m7r3_polar2_q6,243712,79691776
155,128,2328,3,2,4,8,2,220,false,19845745181225230301837411840,1024,8,383,7,3,true,class2_special,60,m7r3_polar3_q1,225280,67895296
156,128,2328,3,2,4,8,2,220,false,21309206629528026564608466397746447885,1024,8,127,7,3,true,class2_special,61,m7r3_polar3_q2,225280,67895296
157,128,2328,3,2,4,8,2,220,false,20809772099148444977207348161431088,1024,8,191,7,3,true,class2_special,62,m7r3_polar3_q3,225280,67895296
158,128,2328,3,2,4,8,2,220,false,22344322650763960156627481934551268565468733,1024,8,63,7,3,true,class2_special,63,m7r3_polar3_q4,225280,67895296
159,128,2328,3,2,4,8,2,220,false,20809772099148445031250543689877058,1024,8,383,7,3,true,class2_special,64,m7r3_polar3_q5,225280,67895296
160,128,2328,3,2,4,8,2,220,false,21309206629528007712072051863603660355,1024,8,95,7,3,true,class2_special,65,m7r3_polar3_q6,225280,67895296
161,128,2328,3,2,4,8,2,220,false,21309206629528007712018008668075214403,1024,8,191,7,3,true,class2_special,66,m7r3_polar3_q7,225280,67895296
162,128,2328,3,2,4,8,2,220,false,22344322650763960175970331941873482779870799,1024,8,127,7,3,true,class2_special,67,m7r3_polar3_q8,225280,67895296
163,128,2328,3,2,4,8,2,220,false,22344322650763960175970332013931076817798735,1024,8,31,7,3,true,class2_special,68,m7r3_polar3_q9,225280,67895296
164,128,2328,3,2,4,8,2,220,false,22344322650763960175970331959887881289352783,1024,8,63,7,3,true,class2_special,69,m7r3_polar3_q10,225280,67895296
165,128,2328,3,2,4,8,2,208,false,20322043065537813835509772867072,1024,8,383,7,3,true,class2_special,70,m7r3_polar4_q1,212992,63963136
166,128,2328,3,2,4,8,2,208,false,21309206629489378698865916598120633896,1024,8,383,7,3,true,class2_special,71,m7r3_polar4_q2,212992,63963136
167,128,2328,3,2,4,8,2,208,false,21820627588597123787638734624929263670828,1024,8,127,7,3,true,class2_special,72,m7r3_polar4_q3,212992,63963136
168,128,2328,3,2,4,8,2,208,false,21820627588597123787638770653726282634834,1024,8,383,7,3,true,class2_special,73,m7r3_polar4_q4,212992,63963136
169,128,2328,3,2,4,8,2,208,false,22344322650723454758542101221472964171552339,1024,8,63,7,3,true,class2_special,74,m7r3_polar4_q5,212992,63963136
170,128,2328,3,2,4,8,2,208,false,22344322650723454758542101185444167152588371,1024,8,127,7,3,true,class2_special,75,m7r3_polar4_q6,212992,63963136
171,128,2328,3,2,4,8,2,196,false,20322043065537813836059264423424,1024,8,351,7,3,true,class2_special,76,m7r3_polar5_q1,200704,53739520
172,128,2328,3,2,4,8,2,196,false,21820627588597123806528200556957336081933,1024,8,159,7,3,true,class2_special,77,m7r3_polar5_q2,200704,53739520
173,128,2328,3,2,4,8,2,196,false,21309206629489378717348690018340705810,1024,8,351,7,3,true,class2_special,78,m7r3_polar5_q3,200704,53739520
174,128,2328,3,2,4,8,2,196,false,22880586394340817692554114500458565756119946783,1024,8,159,7,3,true,class2_special,79,m7r3_polar5_q4,200704,53739520
175,128,2328,3,2,4,8,2,196,false,21309206629489378698865917147612190241,1024,8,351,7,3,true,class2_special,80,m7r3_polar5_q5,200704,53739520
176,128,2328,3,2,4,8,2,196,false,21820627588597123787638734625478755227180,1024,8,159,7,3,true,class2_special,81,m7r3_polar5_q6,200704,53739520
177,128,2328,3,2,4,8,2,196,false,22344322650723454758542101185444716644144691,1024,8,159,7,3,true,class2_special,82,m7r3_polar5_q7,200704,53739520
178,128,2328,3,2,4,8,2,196,false,22880586394340817672747073835035022007333819966,1024,8,351,7,3,true,class2_special,83,m7r3_polar5_q8,200704,53739520
179,128,2328,3,2,4,8,2,196,false,21820627588597123787620287881405045675569,1024,8,159,7,3,true,class2_special,84,m7r3_polar5_q9,200704,53739520
180,128,2328,3,2,4,8,2,196,false,22344322650723454758523174826025090644186684,1024,8,95,7,3,true,class2_special,85,m7r3_polar5_q10,200704,53739520
181,128,2328,3,2,4,8,2,196,false,22344322650723454758560990651376195224999475,1024,8,95,7,3,true,class2_special,86,m7r3_polar5_q11,200704,53739520
182,128,2328,3,2,4,8,2,196,false,22880586394340817672766416648148856074129118782,1024,8,159,7,3,true,class2_special,87,m7r3_polar5_q12,200704,53739520
